MSOA21CD,Medianage
E02001099,42
E02001100,46
E02001101,47
E02001102,41
E02001103,50
E02001104,37
E02001105,47
E02001106,43
E02001107,36
E02001108,33
E02001109,38
E02001110,49
E02001111,30
E02001112,45
E02001113,27
E02001114,37
E02001115,41
E02001116,29
E02001117,49
E02001118,48
E02001119,27
E02001121,27
E02001123,34
E02001124,34
E02001125,39
E02001126,32
E02001127,34
E02001128,39
E02001129,36
E02001130,48
E02001131,42
E02007000,29
E02007001,29
E02001132,43
E02001133,43
E02001134,47
E02001135,33
E02001136,41
E02001137,46
E02001138,48
E02001139,30
E02001140,34
E02001141,33
E02001142,49
E02001143,32
E02001144,42
E02001145,45
E02001146,31
E02001147,34
E02001148,40
E02001149,38
E02001150,37
E02001151,40
E02001152,37
E02001153,34
E02001154,38
E02001155,41
E02001156,44
E02001157,32
E02001158,37
E02001159,34
E02001160,34
E02001161,42
E02001162,42
E02001163,40
E02001164,34
E02001165,37
E02001166,25
E02001167,34
E02001168,37
E02001169,43
E02001170,44
E02001171,42
E02001173,27
E02001174,38
E02001175,36
E02001176,40
E02001177,34
E02001179,32
E02001180,31
E02001181,36
E02001182,34
E02001183,34
E02001185,40
E02001186,37
E02006957,24
E02006958,29
E02006959,28
E02006960,26
E02006961,30
E02006962,27
E02006963,29
E02001187,41
E02001188,34
E02001189,40
E02001190,33
E02001191,47
E02001192,42
E02001193,37
E02001194,43
E02001195,41
E02001196,47
E02001197,42
E02001198,44
E02001199,42
E02001200,35
E02001201,38
E02001202,35
E02001203,50
E02001204,38
E02001205,38
E02001206,46
E02001207,46
E02001208,40
E02001209,38
E02001210,39
E02001211,42
E02001212,33
E02001213,41
E02001214,44
E02001215,49
E02001216,44
E02001217,40
E02001218,46
E02001219,48
E02001220,43
E02001221,48
E02001222,43
E02001223,49
E02001224,55
E02001225,45
E02001226,40
E02001227,48
E02001228,46
E02001229,41
E02001230,45
E02001231,41
E02001232,37
E02001233,41
E02001234,36
E02001235,37
E02001236,36
E02001237,39
E02001238,42
E02001239,38
E02001240,40
E02001241,33
E02001242,40
E02001243,45
E02001244,46
E02001245,38
E02001246,41
E02001247,39
E02001248,36
E02001249,39
E02001250,46
E02001251,47
E02001252,45
E02001253,44
E02001254,43
E02001255,34
E02001256,35
E02001257,44
E02001258,45
E02001259,31
